Id,Sales
1,4979.9136
2,5960.623
3,8273.163
4,12734.061
5,5397.7646
6,5726.2915
7,15426.583
8,7958.9478
9,8506.012
10,7073.4194
11,10475.454
12,9446.499
13,8416.297
14,6859.785
15,8692.672
16,10144.503
17,8589.249
18,9717.389
19,8205.587
20,10349.678
21,8100.036
22,6420.0435
23,7071.4224
24,13604.034
25,12879.938
26,7884.8257
27,12438.555
28,6547.9175
29,9288.868
30,4828.3247
31,7256.9834
32,5927.433
33,10203.588
34,10791.264
35,11341.698
36,12068.427
37,8982.85
38,7074.8296
39,7965.874
40,5298.5566
41,7110.0947
42,13288.037
43,8112.446
44,6168.8945
45,6131.4565
46,6896.9053
47,9333.2
48,4034.4214
49,9919.524
50,5634.294
51,8862.237
52,8160.779
53,7042.587
54,10767.319
55,6112.5195
56,9615.247
57,12345.587
58,8035.093
59,6663.1377
60,9357.847
61,6095.3384
62,7666.874
63,10408.31
64,13855.18
65,7331.859
66,7966.7856
67,9916.602
68,10758.584
69,12357.45
70,7848.9966
71,11334.398
72,5265.7563
73,5487.047
74,7782.6353
75,8556.958
76,12900.174
77,9810.748
78,5171.346
79,7031.599
80,9339.781
81,8990.555
82,12373.041
83,4018.405
84,15275.607
85,7886.4575
86,5931.6753
87,6458.2393
88,8466.602
89,7549.4487
90,11633.161
91,5544.25
92,8796.602
93,7801.26
94,8370.409
95,9257.32
96,6376.5728
97,8641.147
98,6465.2715
99,6112.7583
100,9379.131
101,10165.424
102,11345.269
103,5327.0923
104,10966.487
105,5552.5806
106,11013.184
107,8997.04
108,14551.595
109,8791.166
110,6543.659
111,8829.408
112,7358.993
113,7926.781
114,6094.734
115,9918.844
116,8291.918
117,4479.2603
118,9989.917
119,7049.758
120,9589.484
121,5429.4395
122,12701.141
123,10856.57
124,7143.7705
125,17430.465
126,8440.445
127,7332.0615
128,9732.034
129,11602.955
130,5409.047
131,5481.1045
132,8848.968
133,8704.793
134,5195.6377
135,7499.698
136,8634.029
137,11263.199
138,10024.841
139,7652.372
140,9432.409
141,8231.809
142,5544.298
143,8582.28
144,9312.526
145,10734.241
146,9552.304
147,10636.305
148,9984.754
149,7714.2964
150,10914.367
151,10065.818
152,6653.7256
153,7539.1875
154,10180.336
155,8787.494
156,9153.202
157,11536.746
158,10737.19
159,9602.581
160,7575.5312
161,9194.106
162,10021.772
163,7565.834
164,8426.698
165,5132.9546
166,7141.0933
167,13776.844
168,11057.62
169,7431.3975
170,6026.3945
171,9001.581
172,8231.77
173,10509.318
174,7135.796
175,7123.4673
176,6728.8696
177,4900.9897
178,13160.764
179,10162.99
180,9081.132
181,8391.513
182,6774.9673
183,6572.27
184,7778.628
185,8626.794
186,5042.911
187,8548.083
188,9276.845
189,10608.909
190,9878.332
191,8332.08
192,16450.576
193,6452.987
194,6573.5615
195,12856.46
196,6507.025
197,9841.769
198,4438.315
199,10714.971
200,10063.361
201,7118.8076
202,7998.5737
203,8413.463
204,7460.9214
205,8214.271
206,10500.321
207,13732.791
208,4037.2932
209,9177.338
210,4603.6157
211,16431.244
212,5624.2476
213,10396.047
214,11589.098
215,10034.417
216,9709.523
217,6212.869
218,6222.8267
219,3621.3477
220,5829.474
221,7687.6406
222,6105.795
223,9862.687
224,8996.68
225,7251.0747
226,8106.2427
227,7095.2583
228,10016.01
229,12000.867
230,10435.864
231,8169.3687
232,5765.098
233,12010.417
234,12917.46
235,7199.6978
236,10000.823
237,4830.7847
238,10882.135
239,6250.4824
240,5511.0967
241,8312.315
242,5370.1055
243,10608.504
244,7017.161
245,11089.844
246,9719.947
247,11610.295
248,11248.771
249,7005.438
250,12477.824
251,22767.982
252,13932.739
253,8256.003
254,4040.233
255,8021.922
256,10766.406
257,7140.7935
258,7359.0146
259,15689.945
260,6629.9814
261,14699.887
262,26267.018
263,5298.946
264,8178.631
265,7043.8496
266,4545.385
267,11329.7295
268,6852.461
269,11409.301
270,11830.57
271,10606.643
272,8585.1045
273,8886.631
274,6382.055
275,8595.092
276,4909.599
277,9272.97
278,9566.217
279,11899.748
280,7524.475
281,7523.4272
282,4757.0454
283,9328.492
284,6925.957
285,6622.814
286,5580.892
287,9565.113
288,6734.224
289,7603.0674
290,8005.053
291,10259.505
292,1.0
293,7546.353
294,7549.1177
295,7561.022
296,8596.608
297,8455.94
298,10140.333
299,10502.094
300,9893.381
301,6675.8096
302,4824.287
303,8647.81
304,9430.367
305,7106.271
306,6107.1523
307,3717.8455
308,11058.738
309,9001.959
310,12126.59
311,7822.935
312,7332.922
313,10673.691
314,6873.034
315,5606.866
316,11177.961
317,6785.062
318,9371.646
319,11246.304
320,20240.229
321,7783.437
322,6196.0503
323,9460.881
324,7651.292
325,8171.1143
326,7182.0093
327,11393.794
328,5464.0454
329,9024.611
330,4960.679
331,7065.7324
332,4384.2065
333,12407.9375
334,6280.968
335,17188.191
336,17279.365
337,7157.104
338,8003.534
339,7229.149
340,8052.6543
341,7146.8853
342,14187.261
343,9179.141
344,12380.607
345,5250.084
346,8891.989
347,6894.241
348,10454.304
349,9313.068
350,8752.004
351,8347.201
352,8584.359
353,8413.03
354,10294.202
355,12722.661
356,8715.502
357,10686.669
358,12810.291
359,7990.5137
360,8982.979
361,9013.145
362,10909.07
363,9222.043
364,7108.9624
365,7530.7573
366,9056.705
367,6883.459
368,15807.205
369,8140.0615
370,9146.491
371,8336.571
372,11175.914
373,6489.595
374,8772.613
375,13959.6875
376,10589.934
377,13059.857
378,9935.981
379,5232.1714
380,17976.666
381,10275.731
382,10928.481
383,21004.217
384,12799.544
385,8913.072
386,9292.235
387,12584.3955
388,12416.307
389,13007.374
390,14701.429
391,8528.807
392,8347.592
393,7936.646
394,10324.97
395,5173.1665
396,13568.4
397,8439.681
398,8262.691
399,7429.732
400,11637.123
401,8874.68
402,7315.4224
403,8941.162
404,6319.301
405,5323.3643
406,10212.507
407,5928.5757
408,7232.556
409,6980.5454
410,7798.8047
411,12601.343
412,11553.594
413,9824.653
414,8105.9795
415,7631.2417
416,12919.086
417,8780.666
418,8473.978
419,7754.871
420,6241.0815
421,13705.17
422,5071.0767
423,15603.482
424,9596.172
425,4677.2207
426,5958.241
427,9249.324
428,8070.2466
429,6855.8345
430,11182.236
431,11216.332
432,15147.909
433,9079.252
434,11471.714
435,3503.9817
436,7151.0786
437,9840.483
438,6708.76
439,8584.1875
440,8130.665
441,8412.878
442,6767.6562
443,6803.1616
444,15803.302
445,12470.829
446,7109.688
447,5998.0366
448,9950.652
449,13220.937
450,10315.55
451,6711.998
452,7883.577
453,15629.383
